id_tienda,telefono_tienda,Ventas de abril
LM108292,684 188 303,0
LM108401,938 790 449,0
LM208830,936 549 204,4
LM243580,977 483 935,0
LB108041,935 254 906,1
LB108020,931 461 665,1
LM108016,931 536 657,0
LM108750,934 616 743,13
LM208013,722 181 800,5
LM308012,931 460 650,12
LB108016,931 139 513,3
LB108038,933 324 571,6
LM108015,633 445 199,20
LM108026,938 026 716,3
LB108001,616 762 289,0
LB108192,622 532 280,0
LM108032,933 488 630,10
LM108820,934 795 779,0
LM108840,936 475 592,4
LM108980,936 853 578,0
LM208940,934 750 233,1
LB108800,937 098 724,4
LB111300,956 769 676,32
LB111403,856 153 765,3
LB111408,956 354 009,6
LB114008,957 490 702,0
LB121730,959 407 629,14
LB129010,951 287 631,0
LB129017,651 533 676,5
LB129190,622 866 529,7
LB129400,952 870 494,1
LB129603,722 828 022,5
LB141002,954 005 434,4
LB141006,954 662 632,9
LB141020,854 713 757,12
LB211405,956 305 292,0
LB211540,681 911 741,0
LB214014,857 833 141,0
LB241007,955 546 148,5
LM111110,856 119 891,0
LM111380,956 681 432,1
LM129631,952 567 293,0
LM229002,952 319 650,11
LB123700,622 176 650,9
LB211100,856 544 775,0
BY118100,958 889 293,6
LB111203,956 637 409,20
LB118197,653 856 346,12
LB129007,952 342 735,17
LB129011,952 616 300,24
LB129100,633 349 259,22
LB129200,622 461 101,8
LB129620,952 383 462,13
LB129680,622 617 426,8
LB129720,630 917 996,27
LB129740,633 076 575,15
LB221007,647 765 492,12
LB229002,688 345 264,22
LB229004,688 345 273,11
LB311100,653 575 238,0
LB414010,633 057 501,26
LM104009,622 527 929,26
LM129600,952 829 301,35
LM141701,722 488 222,7
LM204009,622 080 727,0
LM211408,856 815 320,21
LM304700,950 119 061,19
LM318013,958 159 990,3
LM329640,952 666 663,43
LM341500,854 743 191,8
LM341950,955 093 365,0
LB104760,850 982 218,3
LB118320,858 994 198,12
LB121410,959 609 394,3
LB121710,959 408 014,1
LB129013,951 456 049,7
LB129014,952 966 900,0
LB129130,952 417 897,23
LB141500,955 615 393,6
LB304700,950 094 632,5
LM204700,950 573 010,16
BY123740,953 033 118,4
LB114400,957 919 499,2
LB123600,953 476 316,5
LB123710,953 057 545,5
LB204740,950 326 424,16
LB241006,611 030 805,8
LB241702,955 662 659,8
LB241900,955 267 645,3
LB118500,722 546 820,0
LB111405,956 396 983,5
LB141100,854 527 772,4
LB141710,633 567 043,14
LB321007,623 552 359,19
LB241640,633 125 801,7
LB314100,957 108 471,8
LM114006,957 029 646,11
BY118151,958 506 687,3
BY318005,958 259 724,1
LB104600,950 616 534,9
LM123700,603 041 650,0
DX114940,657 168 332,0
LB111009,956 284 417,1
LB111012,856 532 901,1
LB111130,856 538 948,2
LB111160,956 434 324,3
LB111510,956 472 931,0
LB111630,956 703 618,5
LB114500,621 327 828,0
LB123650,677 497 669,19
LB211500,681 920 469,0
LB218001,958 202 000,0
LB223005,633 408 140,1
LB223007,633 050 511,5
LB223740,722 221 510,0
LB314900,621 327 831,0
LB314940,623 474 987,0
LM214800,622 245 011,7
LM218008,958 081 865,2
LM241440,661 514 890,13
LM314850,623 472 452,8
LB104770,950 402 389,17
LB223400,609 462 949,5
LB211600,856 094 848,3
LB111550,722 376 731,0
LB118007,858 715 308,0
LB218012,633 332 054,0
LB218300,686 980 605,1
LB229651,952 586 107,9
LB229780,633 331 240,0
LB311540,722 442 236,0
LB318003,615 137 300,0
LM118200,958 413 060,3
LM118680,615 137 300,0
LM118690,645 714 400,0
LM204004,600 734 391,0
LM218600,653 747 100,0
BY318230,958 434 413,0
LB118015,858 716 643,2
LB129700,951 284 809,18
LB141900,633 218 785,11
LB229620,952 370 320,16
LB241008,954 943 724,16
LB329640,952 592 366,24
LM214900,957 788 748,7
LM318800,958 703 231,0
LB214005,000 000 000,10
LM118014,958 948 351,1
LM211370,956 675 295,0
LB111140,856 502 411,2
LB118006,958 070 071,0
LB123200,953 682 029,12
LB129006,622 286 972,1
LB141008,854 750 494,4
LB141010,954 001 331,6
LB241300,954 790 971,5
LM314007,622 208 634,0
LY141011,955 355 981,7
LB111520,856 113 525,9
LB129004,622 107 530,6
LB129651,622 540 717,8
LB129670,622 722 522,9
LB229640,633 627 262,1
LM111004,856 520 130,5
LM229680,952 805 044,6
LM318600,958 607 364,7
LB341927,625 739 977,0
LBE10030,622 706 759,0
LM241020,722 583 523,3
LB106480,924 456 321,0
LB110400,927 461 795,8
LB110800,927 501 941,10
LB106010,633 332 104,0
LM106011,924 238 418,1
LM106800,625 912 020,31
LM110005,927 100 003,36
LB106300,722 112 260,1
LB106800,622 043 574,1
LB110001,613 347 919,2
LB110300,927 776 172,22
LB110600,622 243 339,2
LB210600,927 777 375,9
LM206400,693 810 141,11
LB106700,722 854 050,1
LB110005,622 726 325,0
BY110003,927 772 309,0
LM106200,693 785 280,0
LM206006,623 126 282,4
LM206008,924 091 859,4
LB148980,944 057 491,2
LM148920,943 943 010,0
LB220302,943 943 010,9
KH148940,946 212 700,1
LM101013,945 338 975,10
LB120100,943 943 010,0
LB120800,943 943 010,0
LM101001,945 709 948,0
LM101012,945 709 145,0
LB148001,944 132 222,14
LB148901,944 387 403,2
LB248012,944 346 759,3
LB148004,946 962 697,2
LB107003,871 945 094,14
LB407007,971 465 078,4
LM107006,971 465 078,38
DX207300,871 919 200,0
LB107400,971 548 571,2
LB307007,622 929 191,8
LM107500,971 834 846,8
LB207800,971 947 932,0
DX149025,980 520 721,0
LB105001,920 409 328,1
LB124005,987 209 514,0
LB124007,987 070 460,9
LB134001,607 166 694,0
LM137700,923 613 223,11
LB109006,622 232 483,5
LB124008,987 194 668,3
LB124010,987 802 374,20
LB237005,923 244 369,21
LM124400,987 406 842,22
LM137900,923 200 586,37
TA109200,947 658 571,0
LB237004,923 710 034,12
BY340002,622 842 350,0
KH142190,622 906 000,0
LB109002,622 234 235,10
LB109007,622 136 606,3
LB109400,947 719 556,16
LB137007,923 709 801,7
LM109003,947 269 428,12
LM109007,722 704 525,7
LB124402,987 626 555,2
LM224400,987 425 056,11
LB134004,979 693 083,0
DX147003,983 111 613,0
LM149003,980 119 330,0
LB137002,923 135 352,5
LB137004,923 707 060,1
LB305004,920 409 041,0
LB119002,949 315 718,8
LM145007,622 134 813,13
LM145600,925 484 855,17
LB102002,967 047 228,0
LB102004,967 859 010,0
LB102005,967 240 682,1
LB216400,969 325 304,0
LM213600,926 544 326,0
LB145200,925 511 770,13
LB145600,925 721 219,6
LM245600,925 681 562,14
LB213300,926 323 229,2
LB119200,692 698 137,5
LB113005,622 321 635,5
LB113600,633 642 542,5
LB213500,673 069 636,2
LB245500,925 099 719,8
LM202006,681 652 634,9
LM213500,633 055 583,12
LB116004,969 409 280,0
LM216004,969 692 574,1
BY113001,926 049 416,5
LB113004,611 088 277,0
LB113200,622 122 829,1
LB113700,633 505 896,9
LB103300,966 736 138,28
LB103550,633 127 283,1
LB112580,964 465 000,13
LB146702,962 149 214,1
LM146500,622 210 960,8
LM203509,966 809 343,13
LB103760,966 477 530,0
LB146800,962 259 319,14
LB246183,961 656 553,20
LBE10023,622 580 132,0
LM103015,685 463 878,8
LM146009,963 496 182,15
LM146013,963 685 318,20
LM146701,962 881 088,9
LM146740,960 260 626,2
LM203205,622 500 211,2
LM203802,633 912 021,0
LM303016,633 033 419,13
LY146019,622 050 996,19
LY146910,963 763 055,20
LY146960,961 597 417,26
LB246006,960 521 945,0
LB146901,961 562 079,13
LM303550,622 720 016,15
LB146260,667 728 728,1
LB103400,966 151 003,0
LB103440,966 550 519,10
LB112006,633 575 777,0
LB146020,622 210 547,0
LB146701,960 825 534,0
LB146900,960 718 346,9
LB146950,647 772 322,4
LB146960,961 516 066,2
LB146970,960 491 281,4
LB203181,622 903 181,2
LB203201,692 090 510,0
LB246011,963 282 035,6
LB303007,623 591 563,0
LB346006,674 169 233,4
LM146980,961 146 340,0
LM203001,633 030 884,3
LB112200,633 237 870,0
LB112530,633 903 034,0
LB146009,963 499 289,0
LB212600,622 692 929,0
LM112500,964 453 419,0
LM212540,653 977 977,0
BY346006,960 492 198,1
DX146470,960 648 556,1
LB203206,672 320 448,4
BY146008,960 810 174,0
LB103182,957 704 376,0
LB103590,966 882 615,2
LB103690,865 785 590,8
LB146018,963 382 941,2
LB146019,960 830 781,3
LB146022,633 154 198,4
LB146023,963 205 320,6
LB146130,961 444 059,0
LB146160,627 639 441,7
LB146185,960 837 170,0
LB146220,960 825 588,4
LB146470,960 817 265,5
LB146920,623 065 643,7
LB246340,960 262 888,7
LB246470,960 438 572,1
LB246600,622 522 838,2
LM103700,622 162 577,11
LM146014,963 291 854,10
LM146470,960 415 562,6
LM146780,960 815 010,2
LM246680,962 014 939,3
LB103130,966 691 211,12
LB103501,966 811 127,0
LB146100,722 225 510,8
LB146530,633 883 439,3
LB246117,633 807 244,1
LB246520,962 675 581,8
LM146010,963 389 024,0
LM112001,633 122 836,0
BY203600,865 795 049,0
BY303610,965 374 497,0
LM146007,961 144 135,0
LM146015,963 470 019,10
LM246980,961 386 903,7
LB131002,948 034 891,2
LB131500,948 825 710,0
LM131007,948 196 359,7
,,0
